id,title,release_date,imdb_score
23,The Good Dinosaur,Christmas,6.7
24,Gangs of New York,Christmas,7.5
24,Ghost Rider,Other,5.2
24,Anger Management,Easter,6.2
24,Sex and the City 2,SummerVacation,4.5
24,Super 8,SummerVacation,7
24,Cars 3,SummerVacation,6.7
24,Trolls,Christmas,6.5
24,Rise of the Guardians,Christmas,7.3
24,G-Force,SummerVacation,5.1
24,King Arthur,SummerVacation,6.3
24,A Good Day to Die Hard,Other,5.3
24,John Wick: Chapter 3 - Parabellum,SummerVacation,7.5
24,Brokeback Mountain,Other,7.7
24,Dr. Dolittle 2,SummerVacation,4.7
24,The Maze Runner,Other,6.8
24,Spider-Man: Into the Spider-Verse,Christmas,8.4
25,Blood Diamond,Christmas,8
25,Battleship,SummerVacation,5.8
25,The Princess and the Frog,Christmas,7.1
25,The Tourist,Christmas,6
25,Cheaper by the Dozen,Christmas,5.8
25,The SpongeBob Movie: Sponge Out of Water,Other,6
25,300: Rise of an Empire,Easter,6.2
25,Fifty Shades Darker,Other,4.6
25,Fifty Shades Freed,Other,4.5
25,The Emperor's New Groove,Christmas,7.3
25,Rango,Easter,7.2
25,The 40-Year-Old Virgin,SummerVacation,7.1
25,Knocked Up,SummerVacation,6.9
25,Garfield,SummerVacation,5
25,Star Trek Beyond,SummerVacation,7.1
25,Road to Perdition,SummerVacation,7.7
25,Journey to the Center of the Earth,SummerVacation,5.8
25,Oblivion,Easter,7
25,Terminator: Dark Fate,Christmas,6.5
26,The Haunted Mansion,Christmas,5
26,The Great Wall,Other,5.9
26,The Day the Earth Stood Still,Christmas,5.5
26,22 Jump Street,SummerVacation,7
26,The Expendables,SummerVacation,6.5
26,The Girl with the Dragon Tattoo,Christmas,7.8
26,50 First Dates,Other,6.8
26,Black Hawk Down,Other,7.7
26,The Island,SummerVacation,6.8
26,Saw III,Other,6.2
26,Us,Easter,6.9
26,Sweet Home Alabama,Other,6.2
26,Nutty Professor II: The Klumps,SummerVacation,4.4
26,Maze Runner: The Scorch Trials,Other,6.3
26,Elysium,SummerVacation,6.6
26,This Is It,Other,7.2
26,Hairspray,SummerVacation,6.6
26,The Nun,Other,5.3
27,Miami Vice,SummerVacation,6
27,Get Smart,SummerVacation,6.5
27,John Carter,Easter,6.6
27,Kill Bill: Vol. 1,Other,8.1
27,Scream 3,Other,5.5
27,The Princess Diaries,SummerVacation,6.3
27,Beowulf,Christmas,6.2
27,Cloudy with a Chance of Meatballs,Other,6.9
27,The Grudge,Other,5.9
27,Grown Ups,SummerVacation,5.9
27,Turbo,SummerVacation,6.4
27,The Green Hornet,Other,5.8
27,The Fault in Our Stars,SummerVacation,7.7
27,Men in Black: International,SummerVacation,5.6
27,Insurgent,Easter,6.2
28,Spy Kids,Easter,5.4
28,It's Complicated,Christmas,6.5
28,Immortals,Christmas,6
28,Scooby-Doo 2: Monsters Unleashed,Easter,5
28,Divergent,Easter,6.7
28,Memoirs of a Geisha,Christmas,7.4
28,The Bourne Legacy,SummerVacation,6.7
28,World Trade Center,SummerVacation,5.9
28,I Now Pronounce You Chuck & Larry,SummerVacation,5.9
28,The Lego Batman Movie,Other,7.3
28,Cloudy with a Chance of Meatballs 2,Other,6.4
28,The Santa Clause 2,Christmas,5.6
28,Knight and Day,SummerVacation,6.3
28,The League of Extraordinary Gentlemen,SummerVacation,5.8
28,Peter Rabbit,Other,6.5
28,Dark Phoenix,SummerVacation,5.8
28,Pitch Perfect 2,SummerVacation,6.4
29,Glass,Other,6.7
29,The Ring Two,Easter,5.4
29,Lincoln,Christmas,7.3
29,The Mexican,Easter,6.1
29,Mr. Deeds,SummerVacation,5.8
29,The Bucket List,Other,7.4
29,Resident Evil: The Final Chapter,Other,5.5
29,"Me, Myself & Irene",SummerVacation,6.6
29,Talladega Nights: The Ballad of Ricky Bobby,SummerVacation,6.6
29,Alien vs. Predator,SummerVacation,5.6
29,Mr. Peabody & Sherman,Easter,6.8
29,Yes Man,Christmas,6.8
29,Daredevil,Other,5.3
29,Epic,SummerVacation,6.7
29,Green Lantern,SummerVacation,5.5
29,Public Enemies,SummerVacation,7
29,Mary Poppins Returns,Christmas,6.8
29,True Grit,Christmas,7.6
30,Sin City,Easter,8
30,The Pink Panther,Other,5.6
30,Swordfish,SummerVacation,6.5
30,The Lone Ranger,SummerVacation,6.4
30,Annabelle: Creation,SummerVacation,6.5
30,How to Lose a Guy in 10 Days,Other,6.4
30,Along Came Polly,Other,6
30,Jumper,Other,6.1
30,Evan Almighty,SummerVacation,5.4
30,Stuart Little 2,SummerVacation,5.4
30,The Beach,Other,6.7
30,We're the Millers,SummerVacation,7
30,Gulliver's Travels,Christmas,4.9
30,Passengers,Christmas,7
30,The Help,SummerVacation,8.1
30,Neighbors,SummerVacation,6.3
30,A Quiet Place,Easter,7.5
31,Monster-in-Law,SummerVacation,5.5
31,No Country for Old Men,Christmas,8.1
31,The Italian Job,SummerVacation,7
31,The Scorpion King,Easter,5.5
31,Green Book,Christmas,8.2
31,Starsky & Hutch,Easter,6.1
31,Bad Teacher,SummerVacation,5.6
31,American Hustle,Christmas,7.2
31,Remember the Titans,Other,7.8
31,The Fast and the Furious: Tokyo Drift,SummerVacation,6
31,The Ugly Truth,SummerVacation,6.4
31,What Happens in Vegas,SummerVacation,6.1
31,Dark Shadows,SummerVacation,6.2
31,Wonder,Christmas,8
31,Annabelle Comes Home,SummerVacation,5.9
31,The Peanuts Movie,Christmas,7.1
32,Shall We Dance,Other,6.1
32,Alice Through the Looking Glass,SummerVacation,6.2
32,Bedtime Stories,Christmas,6
32,Grown Ups 2,SummerVacation,5.4
32,Legally Blonde,SummerVacation,6.2
32,The Social Network,Other,7.7
32,Ferdinand,Christmas,6.7
32,Rocky Balboa,Christmas,7.1
32,Saw II,Other,6.6
32,Pixels,SummerVacation,5.6
32,Paranormal Activity,Other,6.3
32,Superbad,SummerVacation,7.6
32,Just Go with It,Other,6.4
33,Silver Linings Playbook,Christmas,7.7
33,Miss Peregrine's Home for Peculiar Children,Other,6.7
33,After Earth,SummerVacation,4.8
33,Meet the Robinsons,Easter,6.8
33,Dreamgirls,Christmas,6.5
33,Space Cowboys,SummerVacation,6.4
33,Dodgeball: A True Underdog Story,SummerVacation,6.7
33,Maid in Manhattan,Christmas,5.2
33,Ocean's Eight,SummerVacation,6.2
33,Valentine's Day,Other,5.7
33,Daddy's Home,Christmas,6.2
33,Battle Los Angeles,Easter,5.7
33,Annabelle,Other,5.4
33,Scary Movie 2,SummerVacation,5.3
33,The Exorcism of Emily Rose,Other,6.7
33,The Final Destination,SummerVacation,5.2
33,Bringing Down the House,Easter,5.6
34,Spy,SummerVacation,7
34,The Sorcerer's Apprentice,SummerVacation,6.1
34,Watchmen,Easter,7.6
34,Daddy Day Care,SummerVacation,5.5
34,Charlotte's Web,Christmas,6.3
34,Shallow Hal,Christmas,5.9
34,Planes,SummerVacation,5.7
34,American Reunion,Easter,6.7
34,Norbit,Other,4
34,Alexander,Christmas,5.6
34,Herbie Fully Loaded,SummerVacation,4.8
34,Hercules,SummerVacation,6
34,Horrible Bosses,SummerVacation,6.9
34,Teenage Mutant Ninja Turtles: Out of the Shadows,SummerVacation,6
34,Blade Runner 2049,Other,8
35,The Family Man,Christmas,6.8
35,America's Sweethearts,SummerVacation,5.7
35,Argo,Other,7.7
35,RoboCop,Other,6.2
35,P.S. I Love You,Christmas,7
35,Freaky Friday,SummerVacation,6.1
35,Sully,Other,7.4
35,The Legend of Zorro,Other,5.9
35,Knowing,Easter,6.2
35,Valkyrie,Christmas,7.1
35,The Heat,SummerVacation,6.6
35,Get Out,Other,7.7
35,Alvin and the Chipmunks: The Road Chip,Christmas,5
35,Due Date,Christmas,6.5
35,Paranormal Activity 3,Other,5.8
35,Maze Runner: The Death Cure,Other,6.2
36,Assassin's Creed,Christmas,5.7
36,Bewitched,SummerVacation,4.8
36,Kill Bill: Vol. 2,Easter,8
36,Sweeney Todd: The Demon Barber of Fleet Street,Christmas,7.3
36,The Time Machine,Easter,6
36,You Don't Mess with the Zohan,SummerVacation,5.5
36,Road Trip,SummerVacation,6.4
36,Eat Pray Love,SummerVacation,5.8
36,Jack Reacher,Christmas,7
36,Save the Last Dance,Other,6.2
36,Monster House,SummerVacation,6.6
36,Paul Blart: Mall Cop,Other,5.2
36,Kung Fu Yoga,Other,5.2
37,Mystic River,Other,7.9
37,Tropic Thunder,SummerVacation,7
37,Coyote Ugly,SummerVacation,5.7
37,Big Momma's House 2,Other,4.7
37,Mr. Popper's Penguins,SummerVacation,6
37,A Knight's Tale,SummerVacation,6.9
37,The SpongeBob SquarePants Movie,Christmas,7
