"year","character_name","n"
1968,"Ross",846
1968,"Chandler",51
1968,"Joey",1256
1969,"Rachel",5260
1969,"Phoebe",100
1969,"Monica",6062
1969,"Ross",892
1969,"Chandler",83
1969,"Joey",1332
1970,"Rachel",6048
1970,"Phoebe",111
1970,"Monica",6220
1970,"Ross",881
1970,"Chandler",108
1970,"Joey",1337
1971,"Rachel",6154
1971,"Phoebe",113
1971,"Monica",6456
1971,"Ross",864
1971,"Chandler",99
1971,"Joey",1238
1972,"Rachel",6430
1972,"Phoebe",112
1972,"Monica",6153
1972,"Ross",709
1972,"Chandler",100
1972,"Joey",1096
1973,"Rachel",6127
1973,"Phoebe",118
1973,"Monica",6417
1973,"Ross",726
1973,"Chandler",64
1973,"Joey",1081
1974,"Rachel",7432
1974,"Phoebe",95
1974,"Monica",6314
1974,"Ross",681
1974,"Chandler",53
1974,"Joey",1087
1975,"Rachel",8248
1975,"Phoebe",112
1975,"Monica",5510
1975,"Ross",685
1975,"Chandler",66
1975,"Joey",1063
1976,"Rachel",8484
1976,"Phoebe",107
1976,"Monica",6015
1976,"Ross",680
1976,"Chandler",73
1976,"Joey",1364
1977,"Rachel",9014
1977,"Phoebe",151
1977,"Monica",6397
1977,"Ross",823
1977,"Chandler",55
1977,"Joey",1412
1978,"Rachel",9844
1978,"Phoebe",115
1978,"Monica",5896
1978,"Ross",924
1978,"Chandler",68
1978,"Joey",1219
1979,"Rachel",10276
1979,"Phoebe",100
1979,"Monica",6620
1979,"Ross",1012
1979,"Chandler",77
1979,"Joey",1268
1980,"Rachel",11679
1980,"Phoebe",84
1980,"Monica",6077
1980,"Ross",1045
1980,"Chandler",85
1980,"Joey",1281
1981,"Rachel",12636
1981,"Phoebe",83
1981,"Monica",5814
1981,"Ross",1241
1981,"Chandler",88
1981,"Joey",1173
1982,"Rachel",13933
1982,"Phoebe",80
1982,"Monica",5773
1982,"Ross",1478
1982,"Chandler",108
1982,"Joey",1075
1983,"Rachel",14635
1983,"Phoebe",92
1983,"Monica",5438
1983,"Ross",1355
1983,"Chandler",109
1983,"Joey",871
1984,"Rachel",15920
1984,"Phoebe",106
1984,"Monica",5156
1984,"Ross",1759
1984,"Chandler",136
1984,"Joey",799
1985,"Rachel",16435
1985,"Phoebe",117
1985,"Monica",5019
1985,"Ross",1899
1985,"Chandler",134
1985,"Joey",811
1986,"Rachel",15508
1986,"Phoebe",139
1986,"Monica",5049
1986,"Ross",1789
1986,"Chandler",162
1986,"Joey",701
1987,"Rachel",15706
1987,"Phoebe",109
1987,"Monica",4843
1987,"Ross",1672
1987,"Chandler",234
1987,"Joey",760
1988,"Rachel",15406
1988,"Phoebe",121
1988,"Monica",4487
1988,"Ross",1783
1988,"Chandler",265
1988,"Joey",665
1989,"Rachel",15462
1989,"Phoebe",189
1989,"Monica",4539
1989,"Ross",1797
1989,"Chandler",366
1989,"Joey",647
1990,"Rachel",15745
1990,"Phoebe",225
1990,"Monica",4472
1990,"Ross",1627
1990,"Chandler",480
1990,"Joey",728
1991,"Rachel",16374
1991,"Phoebe",233
1991,"Monica",4182
1991,"Ross",1452
1991,"Chandler",557
1991,"Joey",712
1992,"Rachel",15863
1992,"Phoebe",194
1992,"Monica",4611
1992,"Ross",1277
1992,"Chandler",990
1992,"Joey",627
1993,"Rachel",15997
1993,"Phoebe",214
1993,"Monica",3924
